iter	RMSE
136	4.17745996
137	4.175189129
138	4.172201969
139	4.169456682
140	4.165404891
141	4.160531117
142	4.158199357
143	4.155370865
144	4.152093375
145	4.148978355
146	4.145691034
147	4.143493593
148	4.139375328
149	4.135817775
150	4.13196742
151	4.129253664
152	4.125501852
153	4.122980613
154	4.120314676
155	4.116753204
156	4.115189544
157	4.112415049
158	4.109701556
159	4.108607656
160	4.106096696
161	4.103501504
162	4.100320689
163	4.097926878
164	4.095116167
165	4.09220813
166	4.089464371
167	4.08489348
168	4.084498477
169	4.081915273
170	4.078842481
171	4.076187947
172	4.07202427
173	4.069303118
174	4.066850581
175	4.064611747
176	4.060670237
177	4.057947028
178	4.05645299
179	4.05402305
180	4.051874593
181	4.049378566
182	4.047543472
183	4.045708339
184	4.042700093
185	4.040868338
186	4.037959603
187	4.033853925
188	4.031516269
189	4.02860855
190	4.026437036
191	4.023765163
192	4.022354575
193	4.020129653
194	4.018242355
195	4.015317521
196	4.012216524
197	4.009088083
198	4.008357496
199	4.005026823
200	4.001426064
201	4.000328798
202	3.997407772
203	3.995067241
204	3.993184235
205	3.990958
206	3.988155201
207	3.986133833
208	3.984592863
209	3.981542782
210	3.980227154
211	3.976439055
212	3.973724914
213	3.97085005
214	3.968767069
215	3.96579308
216	3.963695735
217	3.96226192
218	3.959554974
219	3.956502255
220	3.954492516
221	3.952177608
222	3.950757191
223	3.948864134
224	3.946138129
225	3.943835866
226	3.941777771
227	3.939430135
228	3.938390904
229	3.936180161
230	3.933292253
231	3.932177513
232	3.929226542
233	3.92763123
234	3.925731039
235	3.924013548
236	3.921938353
237	3.921103333
238	3.919387089
239	3.917022322
240	3.915743862
241	3.912980208
242	3.910815228
243	3.910546661
244	3.907378228
245	3.904515577
246	3.902650939
247	3.901096843
248	3.897361103
249	3.894697618
250	3.893025472
251	3.891615402
252	3.889129418
253	3.887719785
254	3.885343744
255	3.883497592
256	3.881528304
257	3.879586844
258	3.877082829
259	3.875124593
260	3.872255725
261	3.871375558
262	3.869591785
263	3.867504742
264	3.865820215
265	3.863813488
266	3.861831128
267	3.859541797
268	3.856654874
269	3.85555966
270	3.854292601
271	3.851950156
272	3.850167978
273	3.84878594
274	3.847369501
275	3.845551887
276	3.843932822
277	3.84193865
278	3.840335585
279	3.838414204
280	3.836317059
281	3.834146447
282	3.83252261
283	3.830464967
284	3.827977387
285	3.826005176
286	3.824045752
287	3.822090884
288	3.820723833
289	3.817884988
290	3.814661497
291	3.812763124
292	3.811618423
293	3.809331991
294	3.807847694
295	3.805420887
296	3.803414131
297	3.802059132
298	3.801192447
299	3.799463059
300	3.796940188
301	3.794430465
302	3.791902655
303	3.789604938
304	3.786954564
305	3.78572522
306	3.784607539
307	3.782627714
308	3.780600694
309	3.778618092
310	3.776610623
311	3.775192092
312	3.773033331
313	3.771753765
314	3.770306745
315	3.768760931
316	3.767743399
317	3.766156453
318	3.764727786
319	3.763126737
320	3.760872004
321	3.759785541
322	3.757895933
323	3.756040137
324	3.753463183
325	3.75251987
326	3.751313197
327	3.749574519
328	3.747894899
329	3.746744594
330	3.745706232
331	3.743199655
332	3.741435047
333	3.739069053
334	3.737026289
335	3.735830127
336	3.734451133
337	3.732629807
338	3.731004108
339	3.729199794
340	3.727482658
341	3.726092034
342	3.723468107
343	3.722201619
344	3.72074876
345	3.719077221
346	3.71720452
347	3.71581739
348	3.714794341
349	3.713050555
350	3.711148716
351	3.709954318
352	3.708259689
353	3.705943824
354	3.704797288
355	3.702619843
356	3.701802143
357	3.699515551
358	3.69726774
359	3.695809701
360	3.694078622
361	3.692387036
362	3.691050462
363	3.689598817
364	3.68848062
365	3.686360391
366	3.685195765
367	3.683906725
368	3.682567201
369	3.680529595
370	3.679602012
371	3.67738571
372	3.676081712
373	3.674562325
374	3.673095722
375	3.67194016
376	3.670390363
377	3.669303708
378	3.667763392
379	3.666128915
380	3.664576863
381	3.663813454
382	3.661912369
383	3.659610596
384	3.657140438
385	3.655903622
386	3.654559027
387	3.652351146
388	3.651736193
389	3.649599244
390	3.648495474
391	3.64707083
392	3.645385008
393	3.643644456
394	3.641583121
395	3.640656249
396	3.639663365
397	3.637536555
398	3.635717997
399	3.634118042
400	3.632327967
401	3.631233732
402	3.629713911
403	3.627834507
404	3.626446315
405	3.624841432
406	3.6237429
407	3.622634481
408	3.621310737
409	3.621278954
410	3.62004023
411	3.619160154
412	3.617897687
413	3.616471911
414	3.614584664
415	3.612877439
416	3.611475749
417	3.610413474
418	3.609066174
419	3.607461173
420	3.605953196
421	3.603477943
422	3.602893065
423	3.601269177
424	3.599035772
425	3.597762424
426	3.596578271
427	3.595531507
428	3.594400902
429	3.592430161
430	3.590934016
431	3.589060242
432	3.586669594
433	3.585051602
434	3.584179661
435	3.582683578
436	3.581249613
437	3.579681008
438	3.578637446
439	3.576936713
440	3.575769776
441	3.57403167
442	3.572990307
443	3.572137403
444	3.570987803
445	3.569237933
446	3.56825009
447	3.567073114
448	3.566225027
449	3.564170879
450	3.562556899
451	3.56142477
452	3.560382571
453	3.558836643
454	3.557331738
455	3.556550336
456	3.555668101
457	3.554310265
458	3.553225063
459	3.551620968
460	3.550329919
461	3.549491677
462	3.548534204
463	3.546854565
464	3.545958209
465	3.544667931
466	3.544243921
467	3.542377029
468	3.541456023
469	3.539124015
470	3.537950052
471	3.536342052
472	3.535280868
473	3.533121005
474	3.531391782
475	3.530531718
476	3.529312412
477	3.527883956
478	3.527161869
479	3.52487915
480	3.524078223
481	3.523254932
482	3.52294908
483	3.522133301
484	3.521012668
485	3.51998998
486	3.518713661
487	3.517888548
488	3.516525475
489	3.51484003
490	3.513354365
491	3.511902094
492	3.510538224
493	3.508899873
494	3.507511431
495	3.506256001
496	3.504827173
497	3.503892758
498	3.50240439
499	3.501221684
500	3.499995219
501	3.499309563
502	3.498339802
503	3.497033219
504	3.495210414
505	3.493742591
506	3.492125321
507	3.490862873
508	3.489801582
509	3.488528079
510	3.486845126
511	3.485356547
512	3.48421987
513	3.483366428
514	3.481820022
515	3.480831939
516	3.478804109
517	3.477961886
518	3.477336588
519	3.476275885
520	3.475577395
521	3.475113998
522	3.473897949
523	3.472634447
524	3.471350971
525	3.470853678
526	3.469978969
527	3.468950611
528	3.467843275
529	3.466597935
530	3.465066107
531	3.464447325
532	3.462566254
533	3.461998429
534	3.460703602
535	3.459520764
536	3.458542206
537	3.457084231
538	3.455847571
539	3.454851811
540	3.453777253
541	3.452420927
542	3.451789022
543	3.4501009
544	3.448833978
545	3.448286484
546	3.447114738
547	3.446139564
548	3.445031388
549	3.4439032
550	3.443097113
551	3.441019215
552	3.439978635
553	3.438759808
554	3.437494654
555	3.436574809
556	3.435561797
557	3.434351483
558	3.43320753
559	3.43249859
560	3.431741821
561	3.431098322
562	3.429971432
563	3.428657769
564	3.427791094
565	3.427205414
566	3.42577612
567	3.423991524
568	3.423260828
569	3.421797662
570	3.421096107
571	3.420099414
572	3.418517768
573	3.416431115
574	3.415486151
575	3.41410941
576	3.413410969
577	3.412710087
578	3.411370026
579	3.409955043
580	3.408831101
581	3.40795619
582	3.406702202
583	3.405980855
584	3.405090113
585	3.403608346
586	3.402907273
587	3.401352248
588	3.400257106
589	3.398729397
590	3.39829085
591	3.396826647
592	3.395759875
593	3.39494063
594	3.393606864
595	3.392798366
596	3.391911918
597	3.39098281
598	3.389882353
599	3.389135876
600	3.38776255
601	3.386927091
602	3.385347484
603	3.384016382
604	3.382865691
605	3.382147965
606	3.38137899
607	3.379882674
608	3.379105557
609	3.377947889
610	3.377008906
611	3.375656767
612	3.374450631
613	3.373678462
614	3.372718099
615	3.371682166
616	3.37034609
617	3.369366033
618	3.368318639
619	3.367672771
620	3.366409229
621	3.365116279
622	3.364408752
623	3.363126454
624	3.362317872
625	3.361213488
626	3.359625604
627	3.358273273
628	3.357077817
629	3.356152841
630	3.354838302
