iter	Passed	Remaining
343	2687	2242
344	2695	2234
345	2702	2226
346	2709	2217
347	2717	2209
348	2724	2201
349	2731	2193
350	2738	2184
351	2746	2176
352	2753	2168
353	2761	2160
354	2768	2152
355	2775	2143
356	2781	2135
357	2790	2127
358	2797	2119
359	2805	2112
360	2813	2104
361	2821	2096
362	2828	2088
363	2835	2080
364	2842	2071
365	2849	2063
366	2856	2055
367	2863	2046
368	2870	2038
369	2878	2030
370	2884	2021
371	2892	2013
372	2898	2005
373	2906	1997
374	2913	1989
375	2921	1981
376	2929	1973
377	2936	1965
378	2944	1957
379	2952	1950
380	2959	1942
381	2966	1933
382	2974	1926
383	2983	1918
384	2990	1910
385	2997	1902
386	3005	1894
387	3012	1886
388	3019	1878
389	3029	1872
390	3039	1865
391	3050	1859
392	3057	1851
393	3070	1846
394	3084	1842
395	3097	1838
396	3109	1833
397	3123	1828
398	3140	1826
399	3150	1819
400	3167	1817
401	3180	1811
402	3195	1807
403	3211	1804
404	3223	1798
405	3237	1793
406	3248	1788
407	3260	1782
408	3275	1777
409	3288	1772
410	3299	1765
411	3317	1763
412	3324	1754
413	3332	1746
414	3339	1738
415	3347	1730
416	3354	1721
417	3361	1713
418	3369	1704
419	3376	1696
420	3384	1688
421	3392	1680
422	3399	1671
423	3407	1663
424	3415	1655
425	3422	1647
426	3429	1638
427	3437	1630
428	3444	1621
429	3452	1613
430	3459	1605
431	3467	1597
432	3476	1589
433	3483	1581
434	3491	1573
435	3499	1565
436	3506	1556
437	3514	1548
438	3522	1540
439	3530	1532
440	3542	1526
441	3559	1522
442	3581	1519
443	3595	1514
444	3603	1505
445	3610	1497
446	3618	1489
447	3625	1480
448	3632	1472
449	3640	1464
450	3647	1455
451	3654	1447
452	3661	1438
453	3668	1430
454	3676	1422
455	3683	1413
456	3691	1405
457	3698	1396
458	3705	1388
459	3712	1380
460	3720	1372
461	3727	1363
462	3735	1355
463	3743	1347
464	3750	1339
465	3760	1331
466	3767	1323
467	3774	1314
468	3782	1306
469	3789	1298
470	3797	1289
471	3804	1281
472	3811	1273
473	3819	1264
474	3826	1256
475	3833	1248
476	3840	1240
477	3848	1231
478	3855	1223
479	3863	1215
480	3870	1207
481	3878	1198
482	3885	1190
483	3892	1182
484	3899	1174
485	3907	1165
486	3914	1157
487	3921	1149
488	3929	1141
489	3937	1132
490	3948	1125
491	3969	1121
492	3987	1116
493	4008	1111
494	4027	1106
495	4047	1101
496	4064	1095
497	4071	1087
498	4079	1079
499	4087	1070
500	4094	1062
501	4102	1054
502	4110	1046
503	4118	1037
504	4126	1029
505	4133	1021
506	4141	1012
507	4149	1004
508	4157	996
509	4164	988
510	4172	979
511	4180	971
512	4187	963
513	4194	954
514	4202	946
515	4210	938
516	4217	929
517	4224	921
518	4232	913
519	4240	905
520	4247	896
521	4254	888
522	4261	880
523	4269	871
524	4277	863
525	4285	855
526	4294	847
527	4302	839
528	4309	830
529	4317	822
530	4325	814
531	4333	806
532	4342	798
533	4350	790
534	4357	781
535	4365	773
536	4373	765
537	4380	757
538	4388	749
539	4396	740
540	4403	732
541	4411	724
542	4418	716
543	4426	707
544	4433	699
545	4440	691
546	4449	683
547	4456	675
548	4464	666
549	4472	658
550	4482	650
551	4490	642
552	4498	634
553	4506	626
554	4513	618
555	4520	609
556	4528	601
557	4537	593
558	4546	585
559	4554	577
560	4561	569
561	4568	560
562	4576	552
563	4584	544
564	4591	536
565	4598	528
566	4606	519
567	4614	511
568	4621	503
569	4629	495
570	4636	487
571	4644	479
572	4652	470
573	4659	462
574	4667	454
575	4674	446
576	4682	438
577	4690	430
578	4698	421
579	4706	413
580	4713	405
581	4720	397
582	4728	389
583	4736	381
584	4743	372
585	4751	364
586	4759	356
587	4766	348
588	4773	340
589	4781	332
590	4788	324
591	4795	315
592	4802	307
593	4810	299
594	4817	291
595	4824	283
596	4832	275
597	4839	267
598	4847	258
599	4855	250
600	4863	242
601	4871	234
602	4879	226
603	4886	218
604	4895	210
605	4902	202
606	4910	194
607	4917	186
608	4925	177
609	4932	169
610	4941	161
611	4948	153
612	4956	145
613	4964	137
614	4971	129
615	4979	121
616	4991	113
617	5011	105
618	5030	97
619	5049	89
620	5065	81
621	5072	73
622	5080	65
623	5090	57
624	5098	48
625	5106	40
626	5114	32
627	5121	24
628	5128	16
629	5136	8
630	5144	0
